STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
MHP,D,32,TEMP MN,20120509 0000,20120509 0000,36, ,DEG F
MHP,D,32,TEMP MN,20120510 0000,20120510 0000,33, ,DEG F
MHP,D,32,TEMP MN,20120511 0000,20120511 0000,32, ,DEG F
MHP,D,32,TEMP MN,20120512 0000,20120512 0000,33, ,DEG F
MHP,D,32,TEMP MN,20120513 0000,20120513 0000,39, ,DEG F
MHP,D,32,TEMP MN,20120514 0000,20120514 0000,30, ,DEG F
MHP,D,32,TEMP MN,20120515 0000,20120515 0000,28, ,DEG F
MHP,D,32,TEMP MN,20120516 0000,20120516 0000,40, ,DEG F
MHP,D,32,TEMP MN,20120517 0000,20120517 0000,33, ,DEG F
MHP,D,32,TEMP MN,20120518 0000,20120518 0000,28, ,DEG F
MHP,D,32,TEMP MN,20120519 0000,20120519 0000,32, ,DEG F
MHP,D,32,TEMP MN,20120520 0000,20120520 0000,37, ,DEG F
MHP,D,32,TEMP MN,20120521 0000,20120521 0000,39, ,DEG F
MHP,D,32,TEMP MN,20120522 0000,20120522 0000,35, ,DEG F
MHP,D,32,TEMP MN,20120523 0000,20120523 0000,34, ,DEG F
MHP,D,32,TEMP MN,20120524 0000,20120524 0000,28, ,DEG F
MHP,D,32,TEMP MN,20120525 0000,20120525 0000,20, ,DEG F
MHP,D,32,TEMP MN,20120526 0000,20120526 0000,19, ,DEG F
MHP,D,32,TEMP MN,20120527 0000,20120527 0000,21, ,DEG F
MHP,D,32,TEMP MN,20120528 0000,20120528 0000,30, ,DEG F
MHP,D,32,TEMP MN,20120529 0000,20120529 0000,32, ,DEG F
MHP,D,32,TEMP MN,20120530 0000,20120530 0000,40, ,DEG F
MHP,D,32,TEMP MN,20120531 0000,20120531 0000,42, ,DEG F
MHP,D,32,TEMP MN,20120601 0000,20120601 0000,44, ,DEG F
MHP,D,32,TEMP MN,20120602 0000,20120602 0000,40, ,DEG F
MHP,D,32,TEMP MN,20120603 0000,20120603 0000,44, ,DEG F
MHP,D,32,TEMP MN,20120604 0000,20120604 0000,28, ,DEG F
MHP,D,32,TEMP MN,20120605 0000,20120605 0000,23, ,DEG F
MHP,D,32,TEMP MN,20120606 0000,20120606 0000,23, ,DEG F
MHP,D,32,TEMP MN,20120607 0000,20120607 0000,34, ,DEG F
MHP,D,32,TEMP MN,20120608 0000,20120608 0000,35, ,DEG F
MHP,D,32,TEMP MN,20120609 0000,20120609 0000,32, ,DEG F
MHP,D,32,TEMP MN,20120610 0000,20120610 0000,29, ,DEG F
MHP,D,32,TEMP MN,20120611 0000,20120611 0000,37, ,DEG F
MHP,D,32,TEMP MN,20120612 0000,20120612 0000,41, ,DEG F
MHP,D,32,TEMP MN,20120613 0000,20120613 0000,40, ,DEG F
MHP,D,32,TEMP MN,20120614 0000,20120614 0000,44, ,DEG F
MHP,D,32,TEMP MN,20120615 0000,20120615 0000,43, ,DEG F
MHP,D,32,TEMP MN,20120616 0000,20120616 0000,49, ,DEG F
MHP,D,32,TEMP MN,20120617 0000,20120617 0000,48, ,DEG F
MHP,D,32,TEMP MN,20120618 0000,20120618 0000,44, ,DEG F
MHP,D,32,TEMP MN,20120619 0000,20120619 0000,42, ,DEG F
MHP,D,32,TEMP MN,20120620 0000,20120620 0000,46, ,DEG F
MHP,D,32,TEMP MN,20120621 0000,20120621 0000,40, ,DEG F
MHP,D,32,TEMP MN,20120622 0000,20120622 0000,36, ,DEG F
MHP,D,32,TEMP MN,20120623 0000,20120623 0000,33, ,DEG F
MHP,D,32,TEMP MN,20120624 0000,20120624 0000,33, ,DEG F
MHP,D,32,TEMP MN,20120625 0000,20120625 0000,33, ,DEG F
MHP,D,32,TEMP MN,20120626 0000,20120626 0000,31, ,DEG F
MHP,D,32,TEMP MN,20120627 0000,20120627 0000,37, ,DEG F
MHP,D,32,TEMP MN,20120628 0000,20120628 0000,38, ,DEG F
MHP,D,32,TEMP MN,20120629 0000,20120629 0000,38, ,DEG F
MHP,D,32,TEMP MN,20120630 0000,20120630 0000,42, ,DEG F
MHP,D,32,TEMP MN,20120701 0000,20120701 0000,39, ,DEG F
MHP,D,32,TEMP MN,20120702 0000,20120702 0000,45, ,DEG F
MHP,D,32,TEMP MN,20120703 0000,20120703 0000,44, ,DEG F
MHP,D,32,TEMP MN,20120704 0000,20120704 0000,42, ,DEG F
MHP,D,32,TEMP MN,20120705 0000,20120705 0000,39, ,DEG F
MHP,D,32,TEMP MN,20120706 0000,20120706 0000,42, ,DEG F
MHP,D,32,TEMP MN,20120707 0000,20120707 0000,44, ,DEG F
MHP,D,32,TEMP MN,20120708 0000,20120708 0000,46, ,DEG F
MHP,D,32,TEMP MN,20120709 0000,20120709 0000,47, ,DEG F
MHP,D,32,TEMP MN,20120710 0000,20120710 0000,50, ,DEG F
MHP,D,32,TEMP MN,20120711 0000,20120711 0000,51, ,DEG F
MHP,D,32,TEMP MN,20120712 0000,20120712 0000,53, ,DEG F
MHP,D,32,TEMP MN,20120713 0000,20120713 0000,45, ,DEG F
MHP,D,32,TEMP MN,20120714 0000,20120714 0000,44, ,DEG F
MHP,D,32,TEMP MN,20120715 0000,20120715 0000,43, ,DEG F
MHP,D,32,TEMP MN,20120716 0000,20120716 0000,40, ,DEG F
MHP,D,32,TEMP MN,20120717 0000,20120717 0000,36, ,DEG F
MHP,D,32,TEMP MN,20120718 0000,20120718 0000,36, ,DEG F
MHP,D,32,TEMP MN,20120719 0000,20120719 0000,43, ,DEG F
MHP,D,32,TEMP MN,20120720 0000,20120720 0000,42, ,DEG F
MHP,D,32,TEMP MN,20120721 0000,20120721 0000,45, ,DEG F
MHP,D,32,TEMP MN,20120722 0000,20120722 0000,50, ,DEG F
MHP,D,32,TEMP MN,20120723 0000,20120723 0000,47, ,DEG F
MHP,D,32,TEMP MN,20120724 0000,20120724 0000,44, ,DEG F
MHP,D,32,TEMP MN,20120725 0000,20120725 0000,44, ,DEG F
MHP,D,32,TEMP MN,20120726 0000,20120726 0000,46, ,DEG F
MHP,D,32,TEMP MN,20120727 0000,20120727 0000,43, ,DEG F
MHP,D,32,TEMP MN,20120728 0000,20120728 0000,42, ,DEG F
MHP,D,32,TEMP MN,20120729 0000,20120729 0000,46, ,DEG F
MHP,D,32,TEMP MN,20120730 0000,20120730 0000,46, ,DEG F
MHP,D,32,TEMP MN,20120731 0000,20120731 0000,49, ,DEG F
MHP,D,32,TEMP MN,20120801 0000,20120801 0000,46, ,DEG F
MHP,D,32,TEMP MN,20120802 0000,20120802 0000,50, ,DEG F
MHP,D,32,TEMP MN,20120803 0000,20120803 0000,50, ,DEG F
MHP,D,32,TEMP MN,20120804 0000,20120804 0000,44, ,DEG F
MHP,D,32,TEMP MN,20120805 0000,20120805 0000,42, ,DEG F
MHP,D,32,TEMP MN,20120806 0000,20120806 0000,47, ,DEG F
MHP,D,32,TEMP MN,20120807 0000,20120807 0000,48, ,DEG F
MHP,D,32,TEMP MN,20120808 0000,20120808 0000,51, ,DEG F
MHP,D,32,TEMP MN,20120809 0000,20120809 0000,53, ,DEG F
MHP,D,32,TEMP MN,20120810 0000,20120810 0000,52, ,DEG F
MHP,D,32,TEMP MN,20120811 0000,20120811 0000,52, ,DEG F
MHP,D,32,TEMP MN,20120812 0000,20120812 0000,49, ,DEG F
MHP,D,32,TEMP MN,20120813 0000,20120813 0000,49, ,DEG F
MHP,D,32,TEMP MN,20120814 0000,20120814 0000,50, ,DEG F
MHP,D,32,TEMP MN,20120815 0000,20120815 0000,47, ,DEG F
MHP,D,32,TEMP MN,20120816 0000,20120816 0000,49, ,DEG F
MHP,D,32,TEMP MN,20120817 0000,20120817 0000,52, ,DEG F
MHP,D,32,TEMP MN,20120818 0000,20120818 0000,51, ,DEG F
