STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
CAP,D,3,SNOW WC,20120416 0000,20120416 0500,14.40, ,INCHES
CAP,D,3,SNOW WC,20120417 0000,20120417 0500,14.40, ,INCHES
CAP,D,3,SNOW WC,20120418 0000,20120418 0500,14.16, ,INCHES
CAP,D,3,SNOW WC,20120419 0000,20120419 0500,13.80, ,INCHES
CAP,D,3,SNOW WC,20120420 0000,20120420 0500,13.32, ,INCHES
CAP,D,3,SNOW WC,20120421 0000,20120421 0500,12.48, ,INCHES
CAP,D,3,SNOW WC,20120422 0000,20120422 0500,11.52, ,INCHES
CAP,D,3,SNOW WC,20120423 0000,20120423 0500,10.68, ,INCHES
CAP,D,3,SNOW WC,20120424 0000,20120424 0500,9.96, ,INCHES
CAP,D,3,SNOW WC,20120425 0000,20120425 0500,9.00, ,INCHES
CAP,D,3,SNOW WC,20120426 0000,20120426 0400,8.40, ,INCHES
CAP,D,3,SNOW WC,20120427 0000,20120427 0500,7.80, ,INCHES
CAP,D,3,SNOW WC,20120428 0000,20120428 0500,7.56, ,INCHES
CAP,D,3,SNOW WC,20120429 0000,20120429 0500,6.84, ,INCHES
CAP,D,3,SNOW WC,20120430 0000,20120430 0500,5.64, ,INCHES
CAP,D,3,SNOW WC,20120501 0000,20120501 0500,4.68, ,INCHES
CAP,D,3,SNOW WC,20120502 0000,20120502 0500,3.12, ,INCHES
CAP,D,3,SNOW WC,20120503 0000,20120503 0500,1.80, ,INCHES
CAP,D,3,SNOW WC,20120504 0000,20120504 0500,0.48, ,INCHES
CAP,D,3,SNOW WC,20120505 0000,20120505 0500,-0.48, ,INCHES
CAP,D,3,SNOW WC,20120506 0000,20120506 0500,-0.60, ,INCHES
CAP,D,3,SNOW WC,20120507 0000,20120507 0500,-0.60, ,INCHES
CAP,D,3,SNOW WC,20120508 0000,20120508 0500,-0.60, ,INCHES
CAP,D,3,SNOW WC,20120509 0000,20120509 0500,-0.72, ,INCHES
CAP,D,3,SNOW WC,20120510 0000,20120510 0500,-0.72, ,INCHES
CAP,D,3,SNOW WC,20120511 0000,20120511 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120512 0000,20120512 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120513 0000,20120513 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120514 0000,20120514 0500,-0.72, ,INCHES
CAP,D,3,SNOW WC,20120515 0000,20120515 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120516 0000,20120516 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120517 0000,20120517 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120518 0000,20120518 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120519 0000,20120519 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120520 0000,20120520 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120521 0000,20120521 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120522 0000,20120522 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120523 0000,20120523 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120524 0000,20120524 0500,-0.96, ,INCHES
CAP,D,3,SNOW WC,20120525 0000,20120525 0500,-0.96, ,INCHES
CAP,D,3,SNOW WC,20120526 0000,20120526 0500,-0.48, ,INCHES
CAP,D,3,SNOW WC,20120527 0000,20120527 0500,0.00, ,INCHES
CAP,D,3,SNOW WC,20120528 0000,20120528 0500,-0.72, ,INCHES
CAP,D,3,SNOW WC,20120529 0000,20120529 0500,-0.72, ,INCHES
CAP,D,3,SNOW WC,20120530 0000,20120530 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120531 0000,20120531 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120601 0000,20120601 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120602 0000,20120602 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120603 0000,20120603 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120604 0000,20120604 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120605 0000,20120605 0500,-0.36, ,INCHES
CAP,D,3,SNOW WC,20120606 0000,20120606 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120607 0000,20120607 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120608 0000,20120608 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120609 0000,20120609 0400,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120610 0000,20120610 0000,---, ,INCHES
CAP,D,3,SNOW WC,20120611 0000,20120611 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120612 0000,20120612 0400,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120613 0000,20120613 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120614 0000,20120614 0500,-0.72, ,INCHES
CAP,D,3,SNOW WC,20120615 0000,20120615 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120616 0000,20120616 0500,-0.72, ,INCHES
CAP,D,3,SNOW WC,20120617 0000,20120617 0500,-0.72, ,INCHES
CAP,D,3,SNOW WC,20120618 0000,20120618 0500,-0.72, ,INCHES
CAP,D,3,SNOW WC,20120619 0000,20120619 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120620 0000,20120620 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120621 0000,20120621 0500,-0.72, ,INCHES
CAP,D,3,SNOW WC,20120622 0000,20120622 0500,-0.72, ,INCHES
CAP,D,3,SNOW WC,20120623 0000,20120623 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120624 0000,20120624 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120625 0000,20120625 0500,-0.72, ,INCHES
CAP,D,3,SNOW WC,20120626 0000,20120626 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120627 0000,20120627 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120628 0000,20120628 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120629 0000,20120629 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120630 0000,20120630 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120701 0000,20120701 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120702 0000,20120702 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120703 0000,20120703 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120704 0000,20120704 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120705 0000,20120705 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120706 0000,20120706 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120707 0000,20120707 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120708 0000,20120708 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120709 0000,20120709 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120710 0000,20120710 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120711 0000,20120711 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120712 0000,20120712 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120713 0000,20120713 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120714 0000,20120714 0500,-0.84, ,INCHES
CAP,D,3,SNOW WC,20120715 0000,20120715 0500,-0.84, ,INCHES
